108; 1564944421.11; 13464; 13884; 13058; 13214
109; 1564944421.15; 13453; 13873; 13059; 13225
110; 1564944421.19; 13466; 13879; 13052; 13208
111; 1564944421.23; 13451; 13871; 13047; 13202
112; 1564944421.27; 13444; 13863; 13045; 13215
113; 1564944421.31; 13464; 13889; 13066; 13234
114; 1564944421.35; 13476; 13894; 13065; 13225
115; 1564944421.39; 13462; 13877; 13051; 13211
116; 1564944421.43; 13448; 13862; 13033; 13191
117; 1564944421.47; 13436; 13859; 13037; 13198
118; 1564944421.51; 13444; 13866; 13040; 13203
119; 1564944421.55; 13449; 13869; 13052; 13214
120; 1564944421.6; 13447; 13849; 13017; 13197
121; 1564944421.64; 13445; 13861; 13027; 13203
122; 1564944421.68; 13203; 13859; 13026; 13204
123; 1564944421.72; 13204; 13855; 13020; 13198
124; 1564944421.76; 13198; 13858; 13025; 13207
125; 1564944421.8; 13207; 13867; 13035; 13221
126; 1564944421.84; 13481; 13895; 13060; 13233
127; 1564944421.87; 13233; 13876; 13047; 13231
128; 1564944421.91; 13486; 13906; 13084; 13246
129; 1564944421.95; 13485; 13899; 13082; 13247
130; 1564944421.99; 13490; 13904; 13073; 13229
131; 1564944422.03; 13472; 13894; 13067; 13228
132; 1564944422.07; 13474; 13895; 13073; 13228
133; 1564944422.11; 13466; 13878; 13053; 13212
134; 1564944422.15; 13455; 13876; 13057; 13224
135; 1564944422.19; 13470; 13890; 13064; 13223
136; 1564944422.23; 13463; 13884; 13059; 13220
137; 1564944422.27; 13461; 13873; 13044; 13209
138; 1564944422.31; 13462; 13887; 13071; 13236
139; 1564944422.35; 13481; 13901; 13075; 13231
140; 1564944422.4; 13497; 13932; 13123; 13279
141; 1564944422.44; 13512; 13907; 13074; 13255
142; 1564944422.48; 13255; 13912; 13074; 13263
143; 1564944422.52; 13509; 13887; 13028; 13187
144; 1564944422.56; 13187; 13830; 13019; 13195
145; 1564944422.6; 13466; 13867; 13046; 13229
146; 1564944422.64; 13229; 13889; 13038; 13197
147; 1564944422.68; 13440; 13840; 13001; 13204
148; 1564944422.72; 13204; 13870; 13049; 13245
149; 1564944422.76; 13245; 13912; 13090; 13257
150; 1564944422.8; 13257; 13878; 13031; 13206
151; 1564944422.84; 13206; 13874; 13040; 13237
152; 1564944422.88; 13237; 13903; 13072; 13265
153; 1564944422.92; 13265; 13893; 13053; 13224
154; 1564944422.96; 13224; 13858; 13047; 13232
155; 1564944423.0; 13232; 13912; 13088; 13270
156; 1564944423.04; 13270; 13918; 13059; 13214
157; 1564944423.08; 13214; 13841; 13001; 13200
158; 1564944423.12; 13200; 13876; 13057; 13229
159; 1564944423.16; 13229; 13891; 13066; 13228
160; 1564944423.2; 13228; 13892; 13056; 13220
161; 1564944423.24; 13220; 13851; 13007; 13187
162; 1564944423.28; 13187; 13850; 13022; 13203
163; 1564944423.32; 13203; 13844; 13006; 13180
164; 1564944423.36; 13436; 13835; 13012; 13195
165; 1564944423.4; 13195; 13847; 13011; 13183
166; 1564944423.44; 13183; 13820; 12984; 13166
167; 1564944423.48; 13424; 13822; 12991; 13170
168; 1564944423.52; 13170; 13825; 13001; 13183
169; 1564944423.56; 13443; 13847; 13019; 13203
170; 1564944423.6; 13203; 13840; 13004; 13184
171; 1564944423.64; 13184; 13849; 13020; 13194
172; 1564944423.68; 13194; 13840; 13009; 13191
173; 1564944423.72; 13447; 13848; 13022; 13204
174; 1564944423.76; 13204; 13839; 13007; 13189
175; 1564944423.8; 13189; 13838; 13001; 13181
176; 1564944423.84; 13442; 13846; 13017; 13198
177; 1564944423.88; 13198; 13845; 13014; 13188
178; 1564944423.92; 13188; 13831; 13009; 13195
179; 1564944423.96; 13454; 13855; 13025; 13210
180; 1564944424.0; 13210; 13862; 13032; 13210
181; 1564944424.04; 13461; 13860; 13034; 13212
182; 1564944424.08; 13212; 13860; 13031; 13210
183; 1564944424.12; 13210; 13855; 13025; 13204
184; 1564944424.16; 13204; 13860; 13030; 13210
185; 1564944424.2; 13210; 13852; 13018; 13196
186; 1564944424.24; 13453; 13853; 13034; 13214
187; 1564944424.28; 13214; 13856; 13025; 13201
188; 1564944424.32; 13201; 13849; 13024; 13205
189; 1564944424.36; 13205; 13852; 13016; 13194
190; 1564944424.4; 13194; 13845; 13011; 13188
191; 1564944424.44; 13188; 13844; 13016; 13193
192; 1564944424.48; 13193; 13853; 13027; 13208
193; 1564944424.52; 13208; 13852; 13021; 13205
194; 1564944424.56; 13205; 13843; 13012; 13192
195; 1564944424.6; 13192; 13849; 13027; 13209
196; 1564944424.64; 13467; 13860; 13028; 13199
197; 1564944424.68; 13199; 13844; 13016; 13196
198; 1564944424.72; 13451; 13849; 13023; 13207
199; 1564944424.76; 13207; 13859; 13024; 13201
200; 1564944424.8; 13201; 13853; 13027; 13212
201; 1564944424.84; 13473; 13873; 13052; 13235
202; 1564944424.88; 13487; 13887; 13054; 13234
203; 1564944424.92; 13234; 13878; 13052; 13238
204; 1564944424.96; 13506; 13903; 13068; 13238
205; 1564944425.0; 13238; 13873; 13040; 13216
206; 1564944425.04; 13216; 13851; 13019; 13197
207; 1564944425.08; 13459; 13861; 13031; 13215
208; 1564944425.11; 13215; 13861; 13030; 13213
209; 1564944425.15; 13474; 13883; 13068; 13236
210; 1564944425.19; 13494; 13907; 13081; 13237
211; 1564944425.24; 13486; 13903; 13079; 13244
212; 1564944425.28; 13491; 13890; 13063; 13245
213; 1564944425.32; 13499; 13900; 13063; 13229
214; 1564944425.36; 13480; 13877; 13050; 13236
215; 1564944425.4; 13236; 13890; 13054; 13225
216; 1564944425.44; 13480; 13873; 13042; 13221
217; 1564944425.49; 13482; 13889; 13059; 13478
218; 1564944425.52; 13478; 13863; 13027; 13215
219; 1564944425.56; 13470; 13874; 13039; 13220
220; 1564944425.6; 13220; 13882; 13058; 13241
221; 1564944425.64; 13241; 13894; 13065; 13240
222; 1564944425.68; 13494; 13896; 13070; 13249
223; 1564944425.72; 13249; 13897; 13071; 13257
224; 1564944425.76; 13257; 13900; 13070; 13254
225; 1564944425.8; 13527; 13929; 13099; 13279
226; 1564944425.84; 13279; 13915; 13079; 13248
227; 1564944425.88; 13505; 13889; 13051; 13225
228; 1564944425.92; 13225; 13875; 13049; 13236
229; 1564944425.96; 13501; 13901; 13070; 13245
230; 1564944426.0; 13245; 13890; 13058; 13236
231; 1564944426.04; 13496; 13886; 13051; 13221
232; 1564944426.08; 13221; 13868; 13033; 13206
233; 1564944426.12; 13469; 13864; 13044; 13229
234; 1564944426.16; 13229; 13878; 13050; 13233
235; 1564944426.2; 13233; 13886; 13048; 13221
236; 1564944426.24; 13221; 13864; 13032; 13204
237; 1564944426.28; 13464; 13853; 13024; 13210
238; 1564944426.32; 13210; 13866; 13031; 13214
239; 1564944426.36; 13483; 13869; 13027; 13202
240; 1564944426.4; 13202; 13842; 13005; 13174
241; 1564944426.44; 13438; 13842; 13021; 13199
242; 1564944426.48; 13199; 13852; 13019; 13194
243; 1564944426.52; 13194; 13853; 13031; 13219
